name,image_link,price,rating,merchant_name,description
Foooomx Prediksi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/31/f4d50c97-ab61-4641-9f99-ac0a4b5d2f3c.jpg.webp?ect=4g,Rp200.000,5.00,Foom Gallery,
Itel S23 PLUS 8/256 GB Garansi Resmi 100% NEW,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/26/21fdb62d-9ec8-45e8-bb28-32bf4c01541c.jpg.webp?ect=4g,Rp2.149.000,5.00,ALL_SHOPE99,
Samsung Galaxy S21 FE 8/256GB - Graphite,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/19/9e8d5561-91f1-445f-81b6-237dd74a6757.jpg.webp?ect=4g,Rp7.699.000,5.00,MHI - Samsung Authorized,
Samsung Galaxy A24 LTE 8/128GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/2/759b3710-32c1-4c50-b3fa-f2c556202888.jpg.webp?ect=4g,Rp3.359.500,5.00,Samsung Official Store,
Samsung Galaxy A34 5G 8/256GB - Awesome Graphite,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/6/42af1ece-0d4e-4014-99a1-742426e5c312.png.webp?ect=4g,Rp4.999.000,5.00,MHI - Samsung Authorized,
Apple iPhone 13 128GB | 256GB | 512GB - Garansi Resmi iBox Apple Indo,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/7/2/7ab96674-9602-4126-a552-ac8a385d39e4.jpg.webp?ect=4g,Rp11.424.000,5.00,Universe Store,
Xiaomi Official Redmi Note 12 50MP Triple Kamera 120Hz AMOLED NFC IP53,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/25/047f59ff-6d18-4fdd-8132-516cf52f2d2a.png.webp?ect=4g,Rp2.099.000,5.00,Xiaomi Official Store,
ITEL S23 8/128 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/22/f6680390-a7be-48ed-969c-909a4e906124.jpg.webp?ect=4g,Rp1.253.000,5.00,duniagadgetku,
Apple iPhone 14 - Garansi Resmi iBox Apple Indonesia,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/10/28/ba2f9780-c4bc-4f77-a5a4-ce06590eb17e.jpg.webp?ect=4g,Rp12.768.000,5.00,Universe Store,
Apple iPhone 14 Pro Max Garansi Resmi - 128GB 256GB 512GB 1TB Promax,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/15/5e89831a-e8a9-4f20-af9c-c701c347d1c3.jpg.webp?ect=4g,Rp21.129.000,5.00,iSmile Official Store,
Infinix Note 30 8/256 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/6/6/8abb24e7-1b31-432c-a4b0-0d8cf485ee18.jpg.webp?ect=4g,Rp1.968.000,5.00,duniagadgetku,
Infinix GT 10 Pro 5G 8/256 GB [RAM 8+8 Extend] Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/6/7922e92c-10a4-4ebc-ad7d-cc74b7d49160.jpg.webp?ect=4g,Rp3.135.000,5.00,duniagadgetku,
